"score","text","name"
0,"RT @taran_adarrsh: POLL: Will @aamir_khan's #Dangal break the record of @BeingSalmanKhan's #Sultan and emerge the HIGHEST GROSSER of 2016?…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @ZoomTV: With @aamir_khan's #Dangal on it's way do you think you can predict which movie will the bigger hit of the year? <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>","AamirKhan"
0,"RT @utvfilms: Miliye Dangal ki #DhaakadGirls se, iss naye video mein: https://t.co/cwIF3IsUgT
@aamir_khan @niteshtiwari22","AamirKhan"
1,"@aamir_khan awesome!!!!!!!!!!","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @MovifiedBolly: #AamirKhan's next production in association with @ZeeStudios_, #SecretSuperstar, which *s @aamir_khan in a cameo to rele…","AamirKhan"
0,"RT @iFaridoon: News: #SecretSuperstar starring @aamir_khan in a special cameo. Will release on August 4, 2017.Directed by Advait.","AamirKhan"
0,"RT @Talkingmoviez: Official : Aamir Khan's Secret Superstar to Release on 4th August 2017 @aamir_khan @ZeeStudios_ @Aamir_KhanFC https://t.…","AamirKhan"
0,"RT @boxofficeindia: .@ZeeStudios_ to present Aamir Khan Productions' film #SecretSuperstar dir by #AdvaitChandan with @aamir_khan as cameo.…","AamirKhan"
1,"@aamir_khan super dedication","AamirKhan"
0,"RT @rohitjswl01: Chalo Cameo he sahe... Kam se kam @aamir_khan k fans ko 2 saal ka wait nhi krna padega  #SecretSuperstar on 4th Aug 2017..…","AamirKhan"
0,"RT @ZoomTV: .@aamir_khan with his onscreen daughters, Fatima Sana Shaikh and Sanya Malhotra at an award function lastnight https://t.co/w4o…","AamirKhan"
0,"RT @boxofficeindia: .@ZeeStudios_ to present Aamir Khan Productions' film #SecretSuperstar dir by #AdvaitChandan with @aamir_khan as cameo.…","AamirKhan"
0,"RT @iFaridoon: News: #SecretSuperstar starring @aamir_khan in a special cameo. Will release on August 4, 2017.Directed by Advait.","AamirKhan"
0,"RT @AamirMeriJaan: All time opening records 

@aamir_khan - 5 out of 40 films ( 4 on non-holiday) 

@BeingSalmanKhan  - 4 out of 70+ films.…","AamirKhan"
0,"RT @filmibeat: JUST IN: Chandan Advait's directoral debut #SecretSuperstar starring @aamir_khan in a cameo will release on 4th August, 2017…","AamirKhan"
0,"RT @The_Auteur: Dangal movie stills @aamir_khan @SakshiTFansite @sanyamalhotra07 @ImFatimaSana @fattysanashaikh @niteshtiwari22 https://t.c…","AamirKhan"
0,"RT @balajidtweets: #SecretSuperstar will star @aamir_khan in a special cameo. Film to release on 4 August 2017. https://t.co/pplkxbjQXZ","AamirKhan"
0,"RT @taran_adarrsh: POLL: Will @aamir_khan's #Dangal break the record of @BeingSalmanKhan's #Sultan and emerge the HIGHEST GROSSER of 2016?…","AamirKhan"
0,"RT @BornSRKianAbhi: ""BoxOfficeIndia""

#DearZindagi 
@MaheshNBhatt @aliaa08 @KajolAtUN @iamsrk @BeingSalmanKhan @aamir_khan @akshaykumar @aj…","AamirKhan"
0,"RT @BornSRKianAbhi: ""BoxOfficeIndia""

#DearZindagi 
@MaheshNBhatt @aliaa08 @KajolAtUN @iamsrk @BeingSalmanKhan @aamir_khan @akshaykumar @aj…","AamirKhan"
0,"RT @Bollyhungama: ""@aamir_khan has two most IMPORTANT factors called discipline and perseverance"": #RahulBhatt #TalkingFilms https://t.co/k…","AamirKhan"
0,"RT @Bollyhungama: ""I will make steroids personally available 2 people &amp; if dey cn achieve same results wht @aamir_khan hs achieved"": #Rahul…","AamirKhan"
0,"RT @aamir_khan: https://t.co/Cc0sPb6jGt","AamirKhan"
0,"RT @utvfilms: Miliye Dangal ki #DhaakadGirls se, iss naye video mein: https://t.co/cwIF3IsUgT
@aamir_khan @niteshtiwari22","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"@ChinoCastanares @aamir_khan we will <U+261D><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @AamirMeriJaan: All time opening records 

@aamir_khan - 5 out of 40 films ( 4 on non-holiday) 

@BeingSalmanKhan  - 4 out of 70+ films.…","AamirKhan"
0,"RT @ZoomTV: .@aamir_khan with his onscreen daughters, Fatima Sana Shaikh and Sanya Malhotra at an award function lastnight https://t.co/w4o…","AamirKhan"
0,"@MirchiCares Varanasi to screen @aamir_khan's PK in audio descriptive format prod by Saksham @PDR mall, this Sunday… https://t.co/f5sKzwjBwf","AamirKhan"
-1,"WATCH: The making of #DhaakadGirls from #Dangal in full of pain and inspiration

@aamir_khan
https://t.co/jdxr7Whtz5 https://t.co/jNvGjnIasi","AamirKhan"
0,"@MirchiCares Varanasi to screen @aamir_khan's PK in audio descriptive format prod by Saksham @PDR mall, this Sunday… https://t.co/A9ixCJ2mKf","AamirKhan"
1,"@aamir_khan  Sir I am very impressed for your hard work and dedication in Dangal.","AamirKhan"
-1,"@aamir_khan Dangal will rule as far as trailer is concerned","AamirKhan"
-1,"#AIB distasteful. @aamir_khan thanks. #russelpeters your race jabs is a passe.@deepikapadukone you have one less fan. Bollyboys grow up.","AamirKhan"
0,"RT @aamir_khan: Hey guys, thanks for the fantastic response to Haanikarak Bapu &amp; Dhaakad! Here is our second poster, hope you like it. Love…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @ZoomTV: .@aamir_khan with his onscreen daughters, Fatima Sana Shaikh and Sanya Malhotra at an award function lastnight https://t.co/w4o…","AamirKhan"
0,"RT @927bigfmranchi: Bapu sehat ke liye tu to hanikarak hai

Dekhiye kya asar pada @927BIGFM ki team Ranchi par..
 @aamir_khan @BollywoodDAN…","AamirKhan"
0,"RT @ZoomTV: .@aamir_khan with his onscreen daughters, Fatima Sana Shaikh and Sanya Malhotra at an award function lastnight https://t.co/w4o…","AamirKhan"
0,"@RosasEnriko @aamir_khan lets bulk up","AamirKhan"
1,".@aamir_khan with his onscreen daughters, Fatima Sana Shaikh and Sanya Malhotra at an award function lastnight https://t.co/w4o0oI38zH","AamirKhan"
