"score","text","name"
0,"RT @pramodsrkian: More New HQ Pics : @iamsrk &amp; @BeingSalmanKhan rocking together on stage at Star Screen Awards, 2016. 
#RaeesTrailerIn2Day…","SalmanKhan"
0,"RT @taran_adarrsh: POLL: Will @aamir_khan's #Dangal break the record of @BeingSalmanKhan's #Sultan and emerge the HIGHEST GROSSER of 2016?…","SalmanKhan"
0,"RT @KiTajwer: @iFaridoon @BeingSalmanKhan Wow<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> it was happy to see you as Salman Khan fan<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B2><U+0098><ed><U+00A0><U+00BD><ed><U+00B2><U+0098><ed><U+00A0><U+00BD><ed><U+00B2><U+0098>","SalmanKhan"
0,"RT @KattarSalmaniac: Media to SRK : About SKs Handsomeness Rank?
@iamsrk : Genuinely handsomeness main no.1 hona chahiye
@BeingSalmanKhan:…","SalmanKhan"
0,"RT @BornSRKianAbhi: ""BoxOfficeIndia""

#DearZindagi 
@MaheshNBhatt @aliaa08 @KajolAtUN @iamsrk @BeingSalmanKhan @aamir_khan @akshaykumar @aj…","SalmanKhan"
0,"RT @iFaridoon: I turned a fan boy and clicked a selfie as @BeingSalmanKhan moved around on a vehicle... Serenading the crowd!! #StarScreenA…","SalmanKhan"
1,"RT @Bollyhungama: ""Theme is friendship, so who better than @iamsrk &amp; me..."": @BeingSalmanKhan at #StarScreenAwards https://t.co/Wy6rHC76l5","SalmanKhan"
0,"RT @BornSRKianAbhi: ""BoxOfficeIndia""

#DearZindagi 
@MaheshNBhatt @aliaa08 @KajolAtUN @iamsrk @BeingSalmanKhan @aamir_khan @akshaykumar @aj…","SalmanKhan"
0,"RT @Lucky_1627: Most Loved Megastar @BeingSalmanKhan 
@ppritam009 @bansode_sunny @Being_Kunnu_ @SKsCombat @SanaAfsal @LoyalSalmanFan @Sabin…","SalmanKhan"
2,"RT @iFaridoon: Super blockbuster Khans @BeingSalmanKhan and @iamsrk talk to the media #StarScreenAwards https://t.co/ZeSY3UVEFh","SalmanKhan"
0,"It's so funny that @BeingSalmanKhan doesn't know what to do with @RanveerOfficial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> HE JUST DOESN'T STOP!","SalmanKhan"
0,"RT @ZoomTV: #WOW: @iamsrk and @BeingSalmanKhan at an award function<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764>

Which one is your favourite?

RT and tell us now! https://t.co/AFFAI…","SalmanKhan"
-1,"RT @iFaridoon: . @BeingSalmanKhan and @iamsrk at #StarScreenAwards last night... They were a rage!!! https://t.co/aewpEL3gKG","SalmanKhan"
0,"RT @SRKswarrior: No one cheered for Salman Khan ,
The moment SRK came on stage &amp; everyone cheered LMAO #FACEPALM 
Poor @beingsalmankhan 
@A…","SalmanKhan"
0,"RT @Sanaderella: grand entry @BeingSalmanKhan <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083> just 26 days left to see his performance! 
 #StarScreenAwards https://t.co/oDl4sCdqfb","SalmanKhan"
0,"RT @STARTVUK: Coming soon to #StarPlusUK ... #StarScreenAwards2016 with the Badshah @iamsrk &amp; the Bhai @BeingSalmanKhan of Bollywood! https…","SalmanKhan"
0,"RT @SRKswarrior: ""Theme is friendship, so who better than @iamsrk &amp; me..."" - @BeingSalmanKhan 

#RaeesTrailerIn2Days

https://t.co/ypUQ24Gt…","SalmanKhan"
2,"RT @OmiADian: Everyday and everytime @iamsrk admits that @BeingSalmanKhan leads him in every field and his fans never agree with him.","SalmanKhan"
0,"RT @pramodsrkian: More Pics : @iamsrk and @BeingSalmanKhan at the red carpet of StarScreenAwards, 2016.  #RaeesTrailerIn2Days https://t.co/…","SalmanKhan"
0,"RT @Bollyhungama: MUST WATCH! @BeingSalmanKhan, @iamsrk on doing a film together: ""Woh bhi ho hi jaayega..."" #StarScreenAwards https://t.co…","SalmanKhan"
0,"RT @Salman_Preeti: The energy of @BeingSalmanKhan is unmatchable https://t.co/grunesR5xS","SalmanKhan"
0,"RT @Popdiarieslive: Exclusive Video: A glimpse of @BeingSalmanKhan's Performance last night at 23rd Star Screen Awards. #StarScreenAwards h…","SalmanKhan"
0,"RT @BeingSalmanKhan: .@iamsrk ki film aa Rahi hai . Date Maine decide kar di hai . Title tum log decide kardo . Best of luck @AnushkaSharma…","SalmanKhan"
0,"RT @pramodsrkian: More Pics : @iamsrk and @BeingSalmanKhan at the red carpet of StarScreenAwards, 2016. #RaeesTrailerIn2Days https://t.co/I…","SalmanKhan"
0,"RT @iFaridoon: . @BeingSalmanKhan and @iamsrk say that they are brothers since many generations and on cue... #KaranArjun clip starts #Star…","SalmanKhan"
0,"RT @Bollyhungama: MUST WATCH! @BeingSalmanKhan, @iamsrk on doing a film together: ""Woh bhi ho hi jaayega..."" #StarScreenAwards https://t.co…","SalmanKhan"
0,"RT @palakmuchhal3: With my Angel after winning the #StarScreenAwards for the Best Playback Singer last night!!!

@BeingSalmanKhan https://t…","SalmanKhan"
0,"RT @ieEntertainment: .@BiggBoss 10 December 4 highlights: Befikre @RanveerOfficial, @Vaaniofficial  steal the @BeingSalmanKhan  episode 
ht…","SalmanKhan"
0,"@SRKswarrior @BeingSalmanKhan @Aani_Fatima RIP sallu ! Matlab itni bezzati toh Abhishek Bacchan ki bhi nhi hoti ! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Being virgin bhai !","SalmanKhan"
0,"RT @Popdiarieslive: Video @BeingSalmanKhan And @iamsrk Performs On Didi Tera Dewar Deewana. #StarScreenAwards https://t.co/ltwvmUe0en","SalmanKhan"
0,"RT @Bollyhungama: WOW! “@BeingSalmanKhan HANDSOMENESS mein NUMBER ONE…”: @iamsrk #StarScreenAwards https://t.co/aQme2q6FKX","SalmanKhan"
0,"RT @MovifiedBolly: Watch:@BeingSalmanKhan and brothers are on fire on #koffeewithkaran teaser https://t.co/wUDqYlv766 https://t.co/9WL5pc6c…","SalmanKhan"
