"score","text","name"
0,"RT @StarAnilJha: They came,they conquered &amp; they made it awesome @BeingSalmanKhan @iamsrk thank u for making #StarScreenAwards so big https…","SRK"
0,"RT @RaeesTheFilm: We're loving the entries for #RaeesTrailerIn2Days. Keep them coming for a chance to interact live with @iamsrk! https://t…","SRK"
0,"RT @Salman_ki_sena: . @SRKswarrior RIP @iamsrk's Stardom <ed><U+00A0><U+00BD><ed><U+00B8><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+0094>  @Aani_Fatima @iamsrk @IndianBatman007 https://t.co/sivgTyzhjH","SRK"
0,"RT @iamsrk: Desi Bond with Videsi lil ladies.Kids of the lovely production team in Budapest. @AnushkaSharma seems not to approve https://t.…","SRK"
1,"@iamsrk @jiteshpillaai SHAH RUKH KHAN I LOVE YOU. Reply ME","SRK"
0,"RT @RaeesTheFilm: Last chance to win passes to the exclusive trailer launch &amp; live interaction with @iamsrk! Contest starts very soon. #Rae…","SRK"
0,"RT @KKKG_TUMBLR: #Raees | #TrailerCountDown | #RaeesTrailerIn2Days cc @iamsrk https://t.co/JRDr8XGkL2","SRK"
0,"RT @Anushka_Arora: Forever favourites!! @iamsrk @BeingSalmanKhan #StarScreenAwards <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> @STARTVUK https://t.co/dKyRsffOZh","SRK"
-3,"All those who spread false, malicious rumours about @iamsrk's baldness...watch #dearzindagi boat scene and then go count your hair. Bleddy","SRK"
0,"RT @STARTVUK: Coming soon to #StarPlusUK ... #StarScreenAwards2016 with the Badshah @iamsrk &amp; the Bhai @BeingSalmanKhan of Bollywood! https…","SRK"
0,"@SRK_Arjuneeti @iamsrk Thankyou So much :)","SRK"
3,"RT @iamsrk: Onwards to enjoy the film with the audience. Freedom to celebrate...feel happy. #AzaadiExpress http://t.co/wWx2VzSiaE","SRK"
0,"RT @MaheshNBhatt: @iamsrk The most painful goodbyes r the ones that r never said &amp; never explained .Ur last scene in #DearZindagi haunts me…","SRK"
0,"RT @AkshaySolapurFC: #Flashback: @akshaykumar &amp; @iamsrk on sets of Blue https://t.co/w6wQMe2GcZ","SRK"
0,"RT @SRK_Arjuneeti: @iamsrk @SRKAarush congrats<ed><U+00A0><U+00BD><ed><U+00B8><U+0083>","SRK"
0,"RT @Bollyhungama: ""@BeingSalmanKhan &amp; maine toh itna bada panga bhi nahi kiya tha, hum khudi darr gaye..."": @iamsrk #StarScreenAwards https…","SRK"
1,"RT @pamelyi: @BeingSalmanKhan @iamsrk thank u for making my day special.....!! https://t.co/oL9xWfpWgd","SRK"
0,"RT @sandhumerry: Biggest Surprise for #Raees Fans today !!!! Stay Tune With me &amp; Follow me Now ! BIGGEST SURPRISE only for @iamsrk #Raees F…","SRK"
-1,"RT @iFaridoon: . @BeingSalmanKhan and @iamsrk at #StarScreenAwards last night... They were a rage!!! https://t.co/aewpEL3gKG","SRK"
0,"RT @iamsrk: I hate being told what to do….even by myself. Deadlines I think are motivation enough. http://t.co/SDbKUcRf7w","SRK"
0,"RT @iamsrk: Battery nahi Bolne ka…. https://t.co/lETNnkozVr","SRK"
2,"RT @Bollyhungama: ""I am VERY HAPPY #DearZindagi has turned out WELL"": @iamsrk at #StarScreenAwards https://t.co/GIQ8DOrscq","SRK"
1,"#PicturePerfect: @aliaa08  and @iamsrk  at an award function lastnight #aliaa #iamsrk https://t.co/E5umLobm2A","SRK"
1,"RT @iamsrk: Raees late nite shoot &amp; our beautiful AD team gets me the t shirt which says it all for Raees in the film.","SRK"
0,"RT @s_shenaz: Dashing @BeingSalmanKhan lukng HOT &lt;3 What A Entry Wow Cant Wait For Watch #StarScreenAwards #2016 @iamsrk :) https://t.co/gi…","SRK"
0,"RT @SRKAarush: this ride Make me feel Raees <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>  @iamsrk @RaeesTheFilm @excelmovies #Indore  #RaeesTrailerIn3Days https://t.co/ewJCe5pXZA","SRK"
1,"@iamsrk love u srk","SRK"
0,"RT @iamsrk: Raees Trailer out in3 days. Feel the happiest when I am on Raees set. My highlite of the day…. https://t.co/0Di15Tyg5V","SRK"
0,"RT @Popdiarieslive: Video @BeingSalmanKhan And @iamsrk Performs On Didi Tera Dewar Deewana. #StarScreenAwards https://t.co/ltwvmUe0en","SRK"
0,"RT @iamsrk: i'll be back...","SRK"
0,"RT @iamsrk: Raees Trailer out in3 days. Feel the happiest when I am on Raees set. My highlite of the day…. https://t.co/0Di15Tyg5V","SRK"
0,"RT @htshowbiz: TV actor @TheKaranPatel loves @iamsrk as he feels SRK<U+2009>came from nowhere but still made it big in the industry. https://t.co/…","SRK"
0,"RT @iamsrk: That’s so cool @SRKAarush thanks https://t.co/Sn0XbnYEKL","SRK"
-1,"RT @iFaridoon: . @BeingSalmanKhan and @iamsrk at #StarScreenAwards last night... They were a rage!!! https://t.co/aewpEL3gKG","SRK"
2,"RT @iamsrk: Wow very well done.  https://t.co/EozoDFQdWo","SRK"
1,"RT @iamsrk: U guys make me blush. @thetanmay &amp; @mojorojo  keep on being as talented as you are and spread laughs. https://t.co/vrUu11XAHb","SRK"
0,"@SRKUniverse pls read, written for RAEES @iamsrk https://t.co/Lif84sIgAo","SRK"
1,"RT @iamsrk: I really enjoyed the making of the films that will follow. Real live interaction with people.  https://t.co/av5RaT2d1w","SRK"
0,"RT @iamsrk: Battery nahi Bolne ka…. https://t.co/lETNnkozVr","SRK"
0,"RT @filmfare: .@iamsrk and @BeingSalmanKhan have been bonding big time and we’re loving it!

https://t.co/OZY9hfEp7r","SRK"
2,"RT @iamsrk: Wow very well done.  https://t.co/EozoDFQdWo","SRK"
0,"RT @Beeros75: O biya biya ho <ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BE><U+00A7> @visitdubai @iamsrk https://t.co/g8rkg36VnG","SRK"
0,"RT @AsmaMnh16: @visitdubai @iamsrk 
#Bemyguest","SRK"
0,"RT @iFaridoon: Must Read:@iamsrk @BeingSalmanKhan and Rekha ji TOWER at #StarScreenAwards https://t.co/7jRC0K3hhD","SRK"
0,"RT @Indian_Polls0: Which Actor you love most?@akshaykumar @BeingSalmanKhan @iamsrk @iHrithik @HrfcKolkata @ImMumin #RaeesTrailerIn3Days #St…","SRK"
0,"RT @AsmaMnh16: @visitdubai @iamsrk In shaa Allah one day I go to Dubai . Really I want that 
#Bemyguest","SRK"
0,"RT @ieEntertainment: #Raees: @iamsrk teases fans with ‘Battery nahi bolneka’ T-shirt before trailer launch, see pics
https://t.co/c9b1xCaSQ…","SRK"
0,"RT @iamSrkFanPriya: #SRKSalmaanTogetherStarScreen @iamsrk @BeingSalmanKhan #KaranArjunForever @Iam_srkholic @SRKUniverseUS @SrkianSuparna @…","SRK"
-1,"RT @iFaridoon: . @BeingSalmanKhan and @iamsrk at #StarScreenAwards last night... They were a rage!!! https://t.co/aewpEL3gKG","SRK"
0,"RT @htshowbiz: TV actor @TheKaranPatel loves @iamsrk as he feels SRK<U+2009>came from nowhere but still made it big in the industry. https://t.co/…","SRK"
0,"RT @AndPicturesIN: Which actor rocks the intense look the best - @SrBachchan (#Sarkar), @iamsrk (#Raees), @duttsanjay (#Vaastav)? https://t…","SRK"
0,"Which actor rocks the intense look the best - @SrBachchan (#Sarkar), @iamsrk (#Raees), @duttsanjay (#Vaastav)? https://t.co/X0dMVh4HH1","SRK"
2,"RT @iamsrk: Wow very well done.  https://t.co/EozoDFQdWo","SRK"
0,"@SRKHydFans @iamsrk I have :-)","SRK"
0,"RT @feminamissindia: Caption this! @iamsrk @LalagunaMireia https://t.co/rYmrTGX4pB","SRK"
0,"RT @Anushka_Arora: Finally managed to watch #DearZindagi last night! Simple things r the most beautiful <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>I loved it. @iamsrk @aliaa08 @gaur…","SRK"
1,"RT @SRKianOnki: BHAI @iamsrk 
LOVE U .
KKHH IS LIFE &amp; @iamsrk IS LIFE.
NOTHING MATTERS MORE THAN U https://t.co/EkZDEQymW1","SRK"
-1,"RT @iFaridoon: . @BeingSalmanKhan and @iamsrk at #StarScreenAwards last night... They were a rage!!! https://t.co/aewpEL3gKG","SRK"
0,"RT @i4srk: <U+2764> @iamsrk https://t.co/m38oi1VJJd","SRK"
0,"RT @STARTVUK: Coming soon to #StarPlusUK ... #StarScreenAwards2016 with the Badshah @iamsrk &amp; the Bhai @BeingSalmanKhan of Bollywood! https…","SRK"
0,"RT @RaeesTheFilm: Last chance to win passes to the exclusive trailer launch &amp; live interaction with @iamsrk! Contest starts very soon. #Rae…","SRK"
0,"RT @SRKswarrior: "" SRK @iamsrk has inspired generations of people to speak Hindi &amp; watch Bollywood films "" - Ranbir Kapoor . https://t.co/8…","SRK"
1,"RT @asherkeval: Whoa! @BeingSalmanKhan - @iamsrk' Cycle Ride' at #StarScreenAwards 2016 

https://t.co/S74tjYMrtd https://t.co/s7Gq5twJ6J","SRK"
0,"RT @Bollyhungama: MUST WATCH! @BeingSalmanKhan, @iamsrk on doing a film together: ""Woh bhi ho hi jaayega..."" #StarScreenAwards https://t.co…","SRK"
0,"RT @pramodsrkian: More New HQ Pics : @iamsrk &amp; @BeingSalmanKhan rocking together on stage at Star Screen Awards, 2016. 
#RaeesTrailerIn2Day…","SRK"
0,"RT @iamsrk: Rakhi done.Suhana gets two presents &amp; double the protection. I get to hug my beautiful sister tighter. Happy Rakhi. http://t.co…","SRK"
0,"RT @pramodsrkian: More New HQ Pics : @iamsrk &amp; @BeingSalmanKhan rocking together on stage at Star Screen Awards, 2016. 
#RaeesTrailerIn2Day…","SRK"
0,"RT @iamsrk: Wherever…However….Whatever….the first rule is..The Show must go on. The second is be happy…. http://t.co/nrQixkXpj7","SRK"
0,"@geek_muse @iamsrk Follow Back for a while","SRK"
0,"RT @BlogDrive: Adi Chopra Is Releasing a Film without @iamsrk dis Friday.
Why my heart tells me that there is a king will hv a guest appear…","SRK"
0,"@iamsrk world biggest MOVIE Star srk love you <ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D> https://t.co/zhMvaXImhU","SRK"
1,"u will find that life is still worthwhile....if SRK just smile @iamsrk @RaeesTheFilm #RaeesTrailerIn2Days @SRKCHENNAIFC","SRK"
